,repeat,fold,split_id,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.A_mid_CO2_fd3_scaled,feature_importance.A_mid_CO2_fd2_scaled,feature_importance.A_mid_CO2_fd1_scaled,feature_importance.A_mid_CO2_scaled
20,4,0,20,0.8895705521472392,0.8873933488481321,0.8629854640615713,0.917197386670372,-1.0690003046834333,-0.002077474851482717,2.388752500551971,1.6934947189659348,2.565384257608472,0.1469325153374233,0.1300613496932515,0.1117331288343558,0.013957055214723901
21,4,1,21,0.896011396011396,0.8919916164935493,0.8364005818920729,0.9262423575352201,1.6504662372789503,0.2636282216399438,1.4364874204700004,-0.8813574406727803,3.0499208909644593,0.12350427350427348,0.11987179487179485,0.09715099715099715,0.009188034188034188
22,4,2,22,0.9103448275862069,0.9105969296664705,0.8776967213114754,0.9141540983606558,2.1256590976803995,1.5806573772943178,2.0269686887639113,-0.4648958534419637,-1.1625094532980944,0.13065134099616862,0.09984674329501919,0.08329501915708817,0.01149425287356326
23,4,3,23,0.8880208333333334,0.8872985909516501,0.8684450524395805,0.9179578118930604,0.5816295147300459,-0.7101416845605807,1.6911079884323594,0.10827796969953166,3.992402690154631,0.1986979166666667,0.1610243055555556,0.12786458333333336,-0.006423611111111072
24,4,4,24,0.8040152963671128,0.7981688322612815,0.8036910298031645,0.8759907578017606,-0.9953660792437613,0.9914234264257816,2.050027375769721,0.5354632646718077,2.05047858771691,0.1230401529636711,0.08996175908221794,0.07313575525812616,-0.0007648183556405619
25,5,0,25,0.8576388888888888,0.8633879995070608,0.8721234562393582,0.9433179917666098,-1.1897757417827852,-0.7357115394713305,0.42904291142664164,0.7537720420085046,6.336671398369676,0.1604861111111111,0.147986111111111,0.12097222222222218,0.055833333333333277
26,5,1,26,0.8807339449541285,0.8778024470669755,0.8527832674571805,0.9135285662953646,1.8815645181489664,1.0716524172662831,2.7247836633009896,-1.3443922634788044,1.1062159695430143,0.14412010008340287,0.12793994995829863,0.09666388657214352,0.01217681401167644
27,5,2,27,0.8496932515337423,0.8473639684917,0.8400220423364877,0.9119826701630374,-0.6226760678768327,-0.2637956119704978,1.6587976999829033,-1.1383081955439986,4.546248845172159,0.13726993865030673,0.12147239263803677,0.09808282208588956,0.004447852760736182
28,5,3,28,0.8727598566308243,0.8619960808643695,0.7484445032811997,0.8832290031582729,-1.2045701033393286,0.9078285509531487,1.516273094078149,0.5153256478639529,2.3324702618653426,0.08629032258064513,0.07437275985663078,0.04489247311827953,-0.007706093189964192
29,5,4,29,0.78125,0.7532947395667411,0.696236799048044,0.7587981555853042,-0.5940224917008597,0.1487033786583357,3.2255544585468727,1.3168968100922522,1.3048632558630595,0.09600694444444444,0.09210069444444444,0.04774305555555556,-0.019270833333333338
30,6,0,30,0.7901049475262368,0.7848768371406514,0.7873927756354765,0.8925316754544739,-0.7638183984928928,1.1969530497251575,0.10732976090807635,-0.3086624400842782,3.5419175444511835,0.10569715142428779,0.08335832083958017,0.06514242878560714,0.002323838080959484
31,6,1,31,0.9173789173789174,0.9172515256072087,0.8590756590208832,0.9203526189661075,0.6941941014089419,1.7100184435942614,0.34987485223143716,0.14081654502371962,1.0717208308840047,0.1332621082621083,0.12044159544159547,0.09793447293447297,0.00982905982905986
32,6,2,32,0.8361111111111111,0.8331150733198055,0.8227472413299641,0.8827842130953758,-1.1204146741939869,1.0026827583592497,4.697893606055707,1.8973002545315574,-1.3002629629698153,0.12361111111111112,0.07263888888888893,0.07895833333333338,0.004513888888888895
33,6,3,33,0.8651574803149606,0.8639117429728317,0.8577559695206753,0.8954065542300836,1.977115381518104,0.16450634120184096,2.922455119558925,-0.20540540686144346,0.982686432026904,0.18956692913385828,0.12913385826771653,0.1283464566929134,0.0069881889763779405
34,6,4,34,0.960668633235005,0.9587214718211459,0.7863132674453429,0.8715017803068118,2.2630490110831185,1.129156420275513,3.6458667408989807,-2.272040695609572,-0.08265281991676642,0.037463126843657844,0.0299901671583088,0.03225172074729601,-0.003834808259586964
35,7,0,35,0.8757297748123436,0.8735875022833307,0.8530705280522157,0.9153103579702119,-0.08759595664867545,0.733209082399363,2.0158791888227903,1.3293835558164433,1.6826389721868322,0.14862385321100918,0.13661384487072556,0.1045871559633027,0.0067556296914094704
36,7,1,36,0.8312883435582822,0.826978075226145,0.8193531559728743,0.8912386778583962,-1.231686084151343,0.8219835663079705,2.403832721036406,-1.0857694941002252,3.0996805981277142,0.12285276073619626,0.10782208588957054,0.09861963190184048,0.010352760736196297
37,7,2,37,0.93125,0.9323755080771235,0.8943797513762607,0.9414830502628347,2.3489070375510077,0.2440357595370109,3.153564583262224,-1.8138875184339875,1.5659394246881464,0.11833333333333336,0.09965277777777778,0.08131944444444449,0.011527777777777814
38,7,3,38,0.8402777777777778,0.8314695669934641,0.7865081029266393,0.8940012714388894,-1.6016899464058065,1.5719279955287864,3.081630944763784,1.0605458835182815,0.7879551910379805,0.11171875,0.07786458333333336,0.05755208333333336,-0.00972222222222221
39,7,4,39,0.9121863799283154,0.9109407091941525,0.8890904183535762,0.9465623031938821,-0.1389240796573865,0.7597697195500682,2.8412021161843377,0.499344665679895,1.4311999608452954,0.17087813620071685,0.13064516129032258,0.11926523297491039,0.007616487455197119
