,repeat,fold,split_id,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.A_low_CO2_fd3_scaled,feature_importance.A_low_CO2_fd2_scaled,feature_importance.A_low_CO2_fd1_scaled,feature_importance.A_low_CO2_scaled
22,4,2,22,0.8773946360153256,0.8775336075313537,0.8299918032786886,0.9058327868852458,1.0911804319753209,0.11809315008443776,-0.6195514300204628,-0.8058940536231495,5.00068029409628,0.14291187739463598,0.12038314176245206,0.0822988505747126,-0.006513409961685845
23,4,3,23,0.9166666666666666,0.9170702138688694,0.91171910624715,0.9553630237624765,1.2334771939745475,0.07126846106706218,0.5806430784250134,-1.5912768476506576,5.081577742442942,0.20086805555555548,0.17760416666666665,0.14279513888888884,0.01197916666666663
24,4,4,24,0.8126195028680688,0.8099917221603803,0.812395805913837,0.8737423591003481,0.02512518117827165,0.17991642972892158,-0.07406025045162797,1.3141815848609206,4.0686791310018675,0.14110898661567878,0.1045889101338432,0.08346080305927342,0.003728489483747599
25,5,0,25,0.8958333333333334,0.8965080080422856,0.8728855776880582,0.9299244818193759,0.6626836085021404,-0.14605054803631828,0.5095786690988899,1.106215162138167,3.5676979893889182,0.17208333333333342,0.15097222222222226,0.11722222222222227,-0.004444444444444429
26,5,1,26,0.8682235195996664,0.864725303319677,0.8381258234519104,0.9280123368068032,0.6532271724323678,0.4798398437071363,0.2709667201661683,0.6620578240822976,3.6043128535824374,0.14286905754795662,0.10717264386989156,0.09199332777314427,0.010425354462051695
27,5,2,27,0.8542944785276073,0.8522196874277077,0.8451240831528142,0.9155431725762931,0.6875617373245821,0.36739622666274213,-0.6311507510715852,-1.9855195953221407,6.227058947967346,0.15667177914110425,0.1278374233128834,0.1069018404907975,0.01357361963190179
28,5,3,28,0.8799283154121864,0.8749233862820268,0.7873839287402841,0.8600998543790307,1.8407218702889225,1.1597410255084777,0.1319433071227965,0.4586328014067459,0.7846946343011663,0.13001792114695343,0.09749103942652332,0.06433691756272404,0.005824372759856655
29,5,4,29,0.8506944444444444,0.8445559383719734,0.806871932173137,0.9035747929991571,2.679644294128875,0.4023099896099138,1.2465337143490247,-0.7425037529269162,1.585072578373963,0.13272569444444443,0.09453124999999997,0.07005208333333333,-0.00026041666666668515
30,6,0,30,0.7908545727136432,0.7853837922434997,0.7880751891533351,0.8526616375675948,1.5247378961003755,0.5900898615881635,1.9461999385999733,0.9824344514068203,-0.6900557219707354,0.12781109445277367,0.07728635682158927,0.05877061469265371,0.003448275862069006
31,6,1,31,0.896011396011396,0.8926526755804371,0.7954193769257103,0.8924717562478602,1.0306066923337596,0.7707251913080886,-0.7337992216130558,-0.6108180785377464,3.785843313391481,0.12962962962962965,0.09707977207977207,0.08326210826210825,0.00484330484330483
32,6,2,32,0.8368055555555556,0.8328710568095359,0.8212230871620152,0.9060454521395989,2.840503560469966,0.4164307159747707,0.724534546923244,-1.0110962960333518,1.6650671190277337,0.14194444444444448,0.10743055555555561,0.08284722222222225,0.002708333333333324
33,6,3,33,0.8454724409448819,0.844492238806517,0.8393077510724569,0.8887387122681241,-0.8803629004939106,-0.1995006154316613,3.3619126019190175,1.096092298153828,2.5988907240504022,0.18385826771653552,0.13897637795275597,0.11112204724409451,-0.013779527559055094
34,6,4,34,0.9478859390363815,0.9476911323632353,0.7720874513327343,0.834165252404246,2.396492114755216,0.9962051356585254,0.8394276727697566,-0.947305965132228,1.804804968582835,0.05821042281219274,0.04877089478859392,0.04159292035398231,0.0020648967551622267
35,7,0,35,0.8440366972477065,0.8392407447621885,0.810926696800243,0.8549389884408554,0.9075133167818824,0.6835079330088274,3.48809122597966,1.2780693068016074,-1.1374109561553918,0.12301918265221021,0.0693077564637198,0.07064220183486243,0.018432026688907487
